,Commodity.Code,Net.Planted.Quantity
0,88,7165423264.0
1,41,2621768949.0
2,81,2568316558.0
3,11,1194914360.0
4,21,420167459.0
5,51,163197376.0
6,332,155831520.0
7,18,80865420.0
8,15,75955424.0
9,91,70283032.0
10,67,59329993.0
11,33,56763915.0
12,78,52317273.0
13,75,43153522.0
14,47,38467211.0
15,39,35503761.0
16,28,31021884.0
17,38,24007350.0
18,84,22540914.0
19,16,18949877.0
20,53,17452870.0
21,17,16681216.0
22,227,13215200.0
23,62,12341345.0
24,31,8431930.0
25,22,7338931.0
26,87,7123387.0
27,54,7058879.0
28,29,6703336.0
29,470,6289952.0
30,42,6167793.0
31,69,5664512.0
32,43,5664321.0
33,20,5627392.0
34,229,4413504.0
35,64,3971794.0
36,32,3803947.0
37,49,3181447.0
38,57,2877632.0
39,46,2753277.0
40,94,2716908.0
41,102,2420448.0
42,13,2304576.0
43,59,2298688.0
44,52,2198566.0
45,309,1904512.0
46,12,1865056.0
47,158,1808000.0
48,202,1241440.0
49,50,1126024.0
50,44,1088611.0
51,19,1012896.0
52,201,1001216.0
53,36,973700.0
54,396,950144.0
55,89,904948.0
56,58,860624.0
57,231,855200.0
58,80,813056.0
59,501,740032.0
60,86,626102.0
61,223,593216.0
62,132,592928.0
63,34,521094.0
64,114,509952.0
65,107,455648.0
66,55,436384.0
67,230,422176.0
68,220,401216.0
69,92,326912.0
70,221,318208.0
71,147,302912.0
72,233,289824.0
73,72,273504.0
74,154,272864.0
75,71,272093.0
76,74,267776.0
77,6000,221152.0
78,83,180035.0
79,156,154464.0
80,60,150665.0
81,203,147104.0
82,93,123968.0
83,333,119712.0
84,235,119200.0
85,105,103840.0
86,218,64704.0
87,222,57888.0
88,66,33824.0
89,219,32192.0
90,1302,27104.0
91,1218,26624.0
92,26,14112.0
93,45,10592.0
94,79,7584.0
95,234,6112.0
96,334,3488.0
97,77,3045.0
98,236,0.0
